sale_price|Year_Built:|Condition|Story_Height:|Finished_Rooms:|Legal_Acres:|Bedrooms|Extra_Finished_Rooms:|1st_Floor_Construction|1st_Floor_Base_Area:|Upper_Floor_Base_Area:|Number_of_Full_Baths:|Number_of_Half_Baths:|Numbers_of_Garages|Number_of_Attached_Carports:
2000|1954|VP|1|4|0.160353|3|1|Wood Frame|900|0|0|0|1|0
62652|1955|A|1|5|0.152502|2|3|Wood Frame|925|0|1|0|1|0
72000|1954|A|1|5|0.192424|3|2|Wood Frame|925|0|1|0|0|0
75000|1955|F|1|5|0.240771|3|2|Wood Frame|1153|0|1|1|0|0
80000|1955|A|1|5|0.179292|3|2|Wood Frame|875|0|1|0|1|1
81000|1955|A|1|5|0.218549|2|3|Wood Frame|875|0|1|0|1|0
87949|1955|A|1|5|0.192837|3|1|Wood Frame|925|0|1|0|1|0
89800|1955|A|1|5|0.182415|2|3|Wood Frame|925|0|1|0|1|0
89950|1956|A|1|5|0.169375|3|2|Wood Frame|875|0|1|0|0|0
90000|1954|A|1|5|0.203856|3|2|Wood Frame|925|0|1|0|1|0
91000|1954|A|1|6|0.164141|3|2|Wood Frame|1162|0|1|0|0|0
91500|1956|A|1|5|0.17011|3|1|Wood Frame|875|0|1|0|1|0
92000|1954|A|1|5|0.226354|3|2|Wood Frame|875|0|1|0|1|0
93500|1953|A|1|6|0.188016|3|3|Wood Frame|1050|0|1|1|1|0
94900|1954|A|1|5|0.151515|3|2|Wood Frame|875|0|1|0|1|0
95000|1954|A|1|5|0.171074|3|2|Wood Frame|875|0|1|0|0|0
95000|1955|A|1|6|0.167768|3|2|Wood Frame|1517|0|2|0|1|0
95500|1955|A|1|5|0.237258|3|1|Wood Frame|925|0|1|0|1|1
97000|1954|A|1|5|0.164141|3|1|Wood Frame|875|0|1|0|1|0
98900|1954|A|1|5|0.155716|3|2|Wood Frame|840|0|1|0|0|0
100000|1955|A|1|6|0.172176|3|3|Wood Frame|1309|0|1|1|1|0
104000|1954|A|1|5|0.175344|3|2|Wood Frame|979|0|1|0|1|0
108000|1956|A|1|5|0.19573|3|2|Wood Frame|925|0|1|0|1|0
108300|1954|A|1|5|0.181267|3|2|Wood Frame|925|0|1|0|1|0
109000|1956|A|1|6|0.172176|2|2|Wood Frame|875|0|1|0|1|0
109000|1954|A|1|6|0.511822|3|2|1/6 Masonry|1187|0|1|0|1|0
109000|1954|A|1|5|0.197061|2|2|Wood Frame|1141|0|1|0|1|0
114500|1955|A|1|0|0.151515|0|0|Wood Frame|1085|0|1|0|1|0
115000|1955|A|1|6|0.183195|3|2|1/6 Masonry|1390|0|1|0|1|0
119000|1957|A|1|6|0.170661|3|3|Wood Frame|1260|0|2|0|0|0
119500|1955|A|1|6|0.192837|3|3|Wood Frame|925|0|1|0|1|0
119900|1955|A|1|6|0.205922|3|2|Wood Frame|1155|0|1|0|0|0
121700|1955|A|1|5|0.258264|3|2|Wood Frame|1674|0|2|0|0|0
123800|1954|A|1|6|0.182851|3|2|Wood Frame|1350|0|2|0|1|0
127750|1953|A|1|6|0.203282|3|2|Wood Frame|1255|0|1|1|1|0
129000|1955|A|1|6|0.204889|3|2|Wood Frame|1360|0|1|0|1|1
129500|1960|A|2|6|0.227731|3|1|1/6 Masonry|1191|588|2|0|1|1
130000|1954|A|1|6|0.252525|3|2|Wood Frame|1416|0|1|1|2|0
140000|1955|A|1|6|0.201033|4|1|Wood Frame|1748|0|1|1|1|0
